"Flow(s):","ODA","","Amount:","Current Prices (USD millions)","","Type of Aid:","All Types, Total","","Sector(s):","Total Bilateral Aid To All Sectors","","Flow Type(s):","Commitments-Total","","Channels:","All Channels, Total","",

"","Time Period","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"","Donor(s)","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total",
"Recipient(s)",
"Mali","","422.780296","620.137857","1022.005282","564.322","843.313422","673.480631","684.741122","537.443248","959.410199","965.358745","746.335928","631.247409","798.517187"
"Mauritania","","161.819733","135.606475","107.424618","145.445268","87.414406","161.03332","183.546859","170.350177","164.282926","111.930219","91.727039","73.132532","73.742786"
"Mauritius","","15.469245","35.022657","58.741761","94.235728","222.556708","301.597166","40.332848","162.962046","105.544459","84.702473","48.164002","11.883679","17.443616"
"Mayotte","","3.812383","1.068156","408.215803","494.323118","533.970135","610.276249","..","..","..","..","..","..",".."
"Morocco","","618.950039","1015.236579","962.015057","2365.293314","1236.057088","1234.851518","939.494406","1714.152213","1826.161587","1377.230657","715.973205","972.561049","1375.031745"
"Mozambique","","973.676533","1000.981148","1712.247013","1830.166317","1698.453581","1471.360526","1290.814381","1286.958342","1542.342269","1364.437163","1300.891123","1075.428161","1401.522198"
"Namibia","","100.468004","194.343858","188.957515","259.192685","423.494172","231.361874","213.667279","184.82398","161.638024","117.168745","167.030086","132.849337","233.144276"
"Niger","","250.334508","277.315941","230.065813","264.096664","292.045586","347.554938","242.898207","491.432061","416.670102","485.494259","391.93372","383.932543","639.812208"
"Nigeria","","5832.579307","11556.263348","1695.200261","1044.664765","808.371171","612.330524","668.079939","818.839472","809.755082","1395.652666","1088.522461","1293.292138","1635.898262"
"Rwanda","","289.435769","533.615692","521.040159","463.775212","745.616554","440.684996","483.41455","365.028968","600.265845","489.61929","548.107042","667.915019","406.287786"
"Saint Helena","","158.421641","2.178178","6.102878","31.627244","130.273803","51.330997","65.289078","27.694413","51.632659","42.847974","99.699932","124.622741","11.868326"
"Sao Tome and Principe","","13.274045","18.175911","31.807027","37.650699","21.041172","32.782898","36.076406","37.559387","15.836446","15.791911","30.463876","19.98139","12.582278"
"Senegal","","586.60595","696.395879","487.143326","813.056539","672.590046","1127.091967","563.474795","705.827293","527.623718","817.642538","692.264214","906.123883","711.114054"
"Seychelles","","5.569536","6.692262","3.339415","14.893339","5.184497","26.383947","6.999205","18.882085","5.124493","4.164205","4.231802","16.681414","4.677759"
"Sierra Leone","","128.140458","200.332497","322.030456","239.132687","258.356986","140.028022","162.048715","167.903117","192.49802","580.375308","481.252928","353.615494","178.085188"
"Somalia","","156.644018","276.219289","301.338335","621.64213","454.435947","286.75279","914.798814","607.464627","760.543439","739.378235","596.92371","772.61272","1324.431594"
